"id","participant_id","question_id","response_value","questionnaire_type","timestamp"
"177","54e20378-5282-4fda-8e17-c451a1b14e26","post_confidence","3","post","2025-04-24 10:20:18.824674+00"
"178","54e20378-5282-4fda-8e17-c451a1b14e26","post_effort","6","post","2025-04-24 10:20:18.824674+00"
"179","54e20378-5282-4fda-8e17-c451a1b14e26","post_engagement","7","post","2025-04-24 10:20:18.824674+00"
"180","4beaba4b-fb1b-45e6-9519-6af798532e6f","post_overall_difficulty","6","post","2025-04-24 10:21:07.645856+00"
"181","4beaba4b-fb1b-45e6-9519-6af798532e6f","post_confidence","3","post","2025-04-24 10:21:07.645856+00"
"182","4beaba4b-fb1b-45e6-9519-6af798532e6f","post_effort","4","post","2025-04-24 10:21:07.645856+00"
"183","4beaba4b-fb1b-45e6-9519-6af798532e6f","post_engagement","5","post","2025-04-24 10:21:07.645856+00"
"184","0b702acf-b8e1-4150-86fe-a7835448b0b6","post_overall_difficulty","5","post","2025-04-24 10:21:21.10034+00"
"185","0b702acf-b8e1-4150-86fe-a7835448b0b6","post_confidence","3","post","2025-04-24 10:21:21.10034+00"
"186","0b702acf-b8e1-4150-86fe-a7835448b0b6","post_effort","2","post","2025-04-24 10:21:21.10034+00"
"187","0b702acf-b8e1-4150-86fe-a7835448b0b6","post_engagement","4","post","2025-04-24 10:21:21.10034+00"
"188","015f7c2e-7897-4f39-a80d-ba2c41885d91","post_overall_difficulty","5","post","2025-04-24 10:22:55.28986+00"
"189","015f7c2e-7897-4f39-a80d-ba2c41885d91","post_confidence","3","post","2025-04-24 10:22:55.28986+00"
"190","015f7c2e-7897-4f39-a80d-ba2c41885d91","post_effort","6","post","2025-04-24 10:22:55.28986+00"
"191","015f7c2e-7897-4f39-a80d-ba2c41885d91","post_engagement","7","post","2025-04-24 10:22:55.28986+00"
"192","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","pre_content_familiarity","7","pre","2025-04-24 10:37:30.402755+00"
"193","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","pre_decision_experience","6","pre","2025-04-24 10:37:30.402755+00"
"194","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","pre_ai_familiarity","6","pre","2025-04-24 10:37:30.402755+00"
"195","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","pre_ai_usage","4","pre","2025-04-24 10:37:30.402755+00"
"196","cfc5eeaa-8284-4fce-a92c-9b5b85b3af9a","pre_tech_comfort","6","pre","2025-04-24 10:37:30.402755+00"
"197","f259ebaa-9077-4d96-a54e-c9729999f11d","pre_content_familiarity","7","pre","2025-04-24 10:37:37.880572+00"
"198","f259ebaa-9077-4d96-a54e-c9729999f11d","pre_decision_experience","6","pre","2025-04-24 10:37:37.880572+00"
"199","f259ebaa-9077-4d96-a54e-c9729999f11d","pre_ai_familiarity","5","pre","2025-04-24 10:37:37.880572+00"
"200","f259ebaa-9077-4d96-a54e-c9729999f11d","pre_ai_usage","4","pre","2025-04-24 10:37:37.880572+00"
"201","f259ebaa-9077-4d96-a54e-c9729999f11d","pre_tech_comfort","7","pre","2025-04-24 10:37:37.880572+00"
"202","6887c5b5-a2cc-4199-a180-a4ef5857b50f","pre_content_familiarity","7","pre","2025-04-24 10:37:41.540067+00"
"203","6887c5b5-a2cc-4199-a180-a4ef5857b50f","pre_decision_experience","6","pre","2025-04-24 10:37:41.540067+00"
"204","6887c5b5-a2cc-4199-a180-a4ef5857b50f","pre_ai_familiarity","4","pre","2025-04-24 10:37:41.540067+00"
"205","6887c5b5-a2cc-4199-a180-a4ef5857b50f","pre_ai_usage","3","pre","2025-04-24 10:37:41.540067+00"
"206","6887c5b5-a2cc-4199-a180-a4ef5857b50f","pre_tech_comfort","6","pre","2025-04-24 10:37:41.540067+00"
"207","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","pre_content_familiarity","7","pre","2025-04-24 10:37:43.328175+00"
"208","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","pre_decision_experience","6","pre","2025-04-24 10:37:43.328175+00"
"209","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","pre_ai_familiarity","6","pre","2025-04-24 10:37:43.328175+00"
"210","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","pre_ai_usage","7","pre","2025-04-24 10:37:43.328175+00"
"211","1cd78a9d-dbd9-420e-9b76-1e93cd7037d2","pre_tech_comfort","7","pre","2025-04-24 10:37:43.328175+00"
"212","d889c1e9-cb46-48fd-b45a-cc39d253530a","pre_content_familiarity","5","pre","2025-04-24 10:38:18.297105+00"
"213","d889c1e9-cb46-48fd-b45a-cc39d253530a","pre_decision_experience","5","pre","2025-04-24 10:38:18.297105+00"
"214","d889c1e9-cb46-48fd-b45a-cc39d253530a","pre_ai_familiarity","4","pre","2025-04-24 10:38:18.297105+00"
"215","d889c1e9-cb46-48fd-b45a-cc39d253530a","pre_ai_usage","6","pre","2025-04-24 10:38:18.297105+00"
"216","d889c1e9-cb46-48fd-b45a-cc39d253530a","pre_tech_comfort","4","pre","2025-04-24 10:38:18.297105+00"
"217","66a531ce-d7d5-4a75-b229-2e7960f7fa97","pre_content_familiarity","7","pre","2025-04-24 10:39:58.698971+00"
"218","66a531ce-d7d5-4a75-b229-2e7960f7fa97","pre_decision_experience","6","pre","2025-04-24 10:39:58.698971+00"
"219","66a531ce-d7d5-4a75-b229-2e7960f7fa97","pre_ai_familiarity","6","pre","2025-04-24 10:39:58.698971+00"
"220","66a531ce-d7d5-4a75-b229-2e7960f7fa97","pre_ai_usage","4","pre","2025-04-24 10:39:58.698971+00"
"221","66a531ce-d7d5-4a75-b229-2e7960f7fa97","pre_tech_comfort","6","pre","2025-04-24 10:39:58.698971+00"
"232","88386777-59d5-4265-885b-a156530e3845","pre_content_familiarity","7","pre","2025-04-24 10:49:26.468034+00"
"233","88386777-59d5-4265-885b-a156530e3845","pre_decision_experience","7","pre","2025-04-24 10:49:26.468034+00"
"234","88386777-59d5-4265-885b-a156530e3845","pre_ai_familiarity","7","pre","2025-04-24 10:49:26.468034+00"
"235","88386777-59d5-4265-885b-a156530e3845","pre_ai_usage","7","pre","2025-04-24 10:49:26.468034+00"
"236","88386777-59d5-4265-885b-a156530e3845","pre_tech_comfort","7","pre","2025-04-24 10:49:26.468034+00"
